allergens,non allergens
SF-CH0001  --  Calcium Carbonate,SF-FLV0035  --  FLV - Red Chilli Pepper Powder (Esnad) Wesee Torti
SF-CH0002  --  MONOSODIUM GLUTAMATE,SF-OTH0004  --  ONION POWDER
SF-CH0003  --  sodium bicarbonate,SF-FLV0031  --  FLV-MAXICAN SALSA FROMATCH SE.2236.010
SF-CR0001  --  CLR-PAPRIKA OIL,SF-FLV0006  --  FLV-RED HOT (Griffco) D200736C
SF-CR0002  --  CLR-CURCUMIN,SF-FLV0069  --  FLV-SOUR CREAM & ONION (Griffco) D250075
SF-CR0003  --  CLR-BEET ROOT COLOR,SF-FLV0053  --  FLV - Hot Chilli Seasoning (Griffco) D231850A
SF-CR0005  --  Sonarex Lake Carmoisine-200416 (F1430296),SF-FLV0052  --  FLV - Tomato Ketchup Seasoning (Griffco) D231970A
SF-CR0007  --  NECOL ORANGE 1899980 - Symega,SF-FLV0011  --  FLV-PAPRIKA (NP) S-2CKB1-18
SF-CR0008  --  NECOL YELLOW 25423984 (Curcumin) Symega,SF-FLV0023  --  FLV-CHILLI SEASONING FP- 700031641 (SYMEGA).
SF-CR0009  --  NECOL PINK 1267790 (Beet root) Symega,SF-FLV0032  --  FLV-GREEN SALSA SEASONING-700031642 (SYMEGA)
SF-CR0010  --  Liquid Grade Green (B-072/ITC/22-23),
SF-CR0011  --  Caramel Powder Grade (ITC/DP02C/22-23),
SF-CR0012  --  Iron Oxide Powder Grade Black (ITC/A102BIO/22-23),
SF-FLV0001  --  FLV-VEGETABLE (NP) S-48X28-35,
SF-FLV0002  --  SWEET AND SOUR (FLV-KETCHUP),
SF-FLV0003  --  FLV-HARRISA (XL Sticks) Froma 2747.003,
SF-FLV0004  --  FLV-BARBECUE ZA-221-103-3 GM,
SF-FLV0005  --  FLV-SOUR CREAM & ONION SE 2473.007 Fromatech,
SF-FLV0007  --  ORIENTAL SWEET (FLV-SWEET & SOUR),
SF-FLV0008  --  FLV-SALT & VIN FROMATECH 2059.009,
SF-FLV0009  --  FLV-CORN BARBEQUE (NP) H9353-18,
SF-FLV0010  --  FLV-Nacho Cheese GM SE 2845.001,
SF-FLV0012  --  FLV-FPC BBQ - 26gm,
SF-FLV0013  --  FLV-CHILLI HEATWAVE 700031972 -Symega,
SF-FLV0014  --  FLV-SALT (For flavouring) (Fine 50 Red Bag),
SF-FLV0015  --  FLV-SWEET CORN SEASONING- H00030631 (SYMEGA),
SF-FLV0016  --  FLV-FROMATECH (RED HOT) SE 3012.001,
SF-FLV0017  --  FLV-CHEESE FROMATECH CFB 323.015,
SF-FLV0018  --  FLV-KETCHUP FROMATECH SE 2145.028,
SF-FLV0019  --  FLV-CHEESE SEASONING B8 - 700035558 (SYMEGA).,
SF-FLV0020  --  FLV-JALAPENO LIME SE 2255.006 (Froma),
SF-FLV0021  --  FLV-CHICKEN - FLV-163-E10065-1 (Esnad),
SF-FLV0022  --  FLV-COCKTAIL SE 2235.008 (Froma),
SF-FLV0024  --  FLV-CHEESE SEASONING FP - 700031643 (SYMEGA).,
SF-FLV0025  --  FLV-BBQ FROMATCH SE 1840.023,
SF-FLV0026  --  FLV-CHILLI -123-E10065-1 (ESNAD).,
SF-FLV0027  --  FLV-KETCHUP SEASONING - 700031638 (SYMEGA).,
SF-FLV0028  --  FLV-SALT (LOCAL),
SF-FLV0029  --  FLV-SWEET & SOUR (NP) S-2ACG1-21,
SF-FLV0033  --  FLV - SWEET CHILLI F1A 18221,
SF-FLV0034  --  FLV- JALAPENO SE 511.024 FOR XL STIX/FLAM (Froma) ,
SF-FLV0037  --  FLV-Vegetable Seasoning-100-E10065-1 (Esnad),
SF-FLV0038  --  FLV - Hot Chilli Pepper & Lime (Froma) SE2680.009,
SF-FLV0039  --  FLV- HCPL SEASONING - 31104 (Symega),
SF-FLV0040  --  FLV-Salt Reducer R10006888 (Symega-Pot Chloride),
SF-FLV0041  --  FLV-RED HOT SEASONING 700031639(SYMEGA)GF.,
SF-FLV0042  --  FLV-CHILLI COMPOUND (C4) FROMATECH SE 1839.056,
SF-FLV0043  --  FLV-KETCHUP COMPOUND (C4) FROMATECH SE 2145.015,
